flowDurationMilliseconds,pkts_forward,mode_ipLen_forward,IAT_mean_forward,pkts_backward,mode_ipLen_backward,IAT_mean_backward,proto
0.0,0.0,0.3291457286432161,0.0,0.0,0.0,0.0,6
0.0,0.0,0.9641062455132806,0.0,0.0,0.0,0.0,17
0.0,0.0,0.3291457286432161,0.0,0.0,0.0,0.0,6
0.0,0.0,0.3291457286432161,0.0,0.0,0.0,0.0,6
0.0,0.0,0.3291457286432161,0.0,0.0,0.0,0.0,6
0.0,0.0,0.3291457286432161,0.0,0.0,0.0,0.0,6
0.0,0.0,0.8015075376884422,0.0,0.0,0.0,0.0,6
0.0,0.0,0.9321608040201005,0.0,0.0,0.0,0.0,17
0.0,0.0,0.3291457286432161,0.0,0.0,0.0,0.0,6
0.0,0.0,0.3291457286432161,0.0,0.0,0.0,0.0,6
0.0,0.0,0.3291457286432161,0.0,0.0,0.0,0.0,6
0.0,0.0,0.3291457286432161,0.0,0.0,0.0,0.0,6
0.0,0.0,0.8467336683417086,0.0,0.0,0.0,0.0,6
0.0,0.0,0.3291457286432161,0.0,0.0,0.0,0.0,6
0.0,0.0,0.3291457286432161,0.0,0.0,0.0,0.0,6
0.0,0.0,0.9698492462311558,0.0,0.0,0.0,0.0,17
0.0,0.0,0.8467336683417086,0.0,0.0,0.0,0.0,6
0.0,0.0,0.3291457286432161,0.0,0.0,0.0,0.0,6
0.0,0.0,0.3291457286432161,0.0,0.0,0.0,0.0,6
0.0,0.0,0.7060301507537688,0.0,0.0,0.0,0.0,6
0.0,0.0,0.3291457286432161,0.0,0.0,0.0,0.0,6
0.0,0.0,0.7060301507537688,0.0,0.0,0.0,0.0,6
0.0,0.0,0.8467336683417086,0.0,0.0,0.0,0.0,6
0.0,0.0,0.7060301507537688,0.0,0.0,0.0,0.0,6
0.0,0.0,0.3291457286432161,0.0,0.0,0.0,0.0,6
0.0,0.0,0.3291457286432161,0.0,0.0,0.0,0.0,6
0.0,0.0,0.7060301507537688,0.0,0.0,0.0,0.0,6
0.0,0.0,0.3291457286432161,0.0,0.0,0.0,0.0,6
0.0,0.0,0.7060301507537688,0.0,0.0,0.0,0.0,6
0.0,0.0,0.3291457286432161,0.0,0.0,0.0,0.0,6
0.0,0.0,0.8190954773869347,0.0,0.0,0.0,0.0,1
0.0,0.0,0.3291457286432161,0.0,0.0,0.0,0.0,6
0.0,0.0,0.7060301507537688,0.0,0.0,0.0,0.0,6
0.0,0.0,0.3291457286432161,0.0,0.0,0.0,0.0,6
0.0,0.0,0.9070351758793971,0.0,0.0,0.0,0.0,17
0.0,0.0,0.3291457286432161,0.0,0.0,0.0,0.0,6
0.0,0.0,0.3291457286432161,0.0,0.0,0.0,0.0,6
0.0,0.0,0.8467336683417086,0.0,0.0,0.0,0.0,6
0.0,0.0,0.3291457286432161,0.0,0.0,0.0,0.0,6
0.0,0.0,0.8950013224014811,0.0,0.0,0.0,0.0,17
0.0,0.0,0.3291457286432161,0.0,0.0,0.0,0.0,6
0.9463260776329343,0.9195979899497487,0.3291457286432161,0.9675782394181355,0.0,0.0,0.0,6
0.0,0.0,0.8467336683417086,0.0,0.0,0.0,0.0,6
0.0,0.0,0.7060301507537688,0.0,0.0,0.0,0.0,6
0.0,0.0,0.3291457286432161,0.0,0.0,0.0,0.0,6
0.0,0.0,0.9321608040201005,0.0,0.0,0.0,0.0,17
0.9594352738064057,0.949748743718593,0.3291457286432161,0.9658749843083704,0.0,0.0,0.0,6
0.0,0.0,0.9932998324958124,0.0,0.0,0.0,0.0,17
0.0,0.0,0.8467336683417086,0.0,0.0,0.0,0.0,6
0.0,0.0,0.7060301507537688,0.0,0.0,0.0,0.0,6
0.9285318741611035,0.9195979899497487,0.3291457286432161,0.949748743718593,0.0,0.0,0.0,6
0.0,0.0,0.8467336683417086,0.0,0.0,0.0,0.0,6
